id,artist,title,country,discogs_release_id,discogs_url,cover_url
"66","Ancanthus","Le Frisson Des Vampires (Un Film De Jean Rollin, Musique Par Acanthus)","Australia","17670274","https://www.discogs.com/release/17670274-Acanthus-Le-Frisson-Des-Vampires","https://i.discogs.com/nzGMqtxVVD2rkGWoXed9k-7_P5FiNpSDvj_MaSB_aXo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Njcw/Mjc0LTE2MTQ3Nzgy/NDYtODMyNy5qcGVn.jpeg"
"71","Ayers, Kevin","After The Show","Australia","3154559","https://www.discogs.com/release/3154559-Kevin-Ayers-Document-Series-Presents","https://i.discogs.com/l8N9ZpMLTipDZ6oxTN89bTvF-D5MFxJAlfRDcRv96ZE/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNTQ1/NTktMTcxNDczMDg4/Ni01NzY0LmpwZWc.jpeg"
"43","Amos, Tori","Raspberry Swirl","Australia","1230804","https://www.discogs.com/release/1230804-Tori-Amos-Spark","https://i.discogs.com/ruhZlp-gfdseO7kJgcgym2T7Cf5ZHh0S1URNzPxheLA/rs:fit/g:sm/q:90/h:528/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMzA4/MDQtMTIxNzM2ODgy/Mi5qcGVn.jpeg"
"77","Ayers, Kevin","Animals","Australia & New Zealand","921023","https://www.discogs.com/release/921023-Kevin-Ayers-Money-Money-Money",""
"78","Ayers, Kevin","Animals","Belgium","2706902","https://www.discogs.com/release/2706902-Kevin-Ayers-Falling-In-Love-Again-Everyone-Knows-The-Song",""
"82","Ayers, Kevin","Baby Come Home","Belgium","4111224","https://www.discogs.com/release/4111224-Kevin-Ayers-Caribbean-Moon",""
"83","Ayers, Kevin","Banana Follies","Belgium","4111224","https://www.discogs.com/release/4111224-Kevin-Ayers-Caribbean-Moon",""
"84","Ayers, Kevin","Banana Productions (The Best Of Kevin Ayers)","Belgium","1730243","https://www.discogs.com/release/1730243-Kevin-Ayers-Baby-Come-Home",""
"85","Ayers, Kevin","Bananamour","Belgium","7040540","https://www.discogs.com/release/7040540-Kevin-Ayers-Falling-Up",""
"86","Ayers, Kevin","Bananamour","Belgium","2078849","https://www.discogs.com/release/2078849-Kevin-Ayers-Money-Money-Money",""
"87","Ayers, Kevin","Bananamour","Belgium","3441243","https://www.discogs.com/release/3441243-Kevin-Ayers-My-Speeding-Heart-Champagne-And-Valium",""
"88","Ayers, Kevin","Bananamour","Belgium","4220073","https://www.discogs.com/release/4220073-Kevin-Ayers-Joy-Of-A-Toy",""
"89","Ayers, Kevin","Bananamour","Belgium","4672800","https://www.discogs.com/release/4672800-Kevin-Ayers-Thank-You-Very-Much",""
"90","Ayers, Kevin","Bananamour","Belgium","3646113","https://www.discogs.com/release/3646113-Kevin-Ayers-Stepping-Out",""
"91","Ayers, Kevin","Bananamour","Belgium","417129","https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
