Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Amos, Tori",Concertina,CD,Yes,Atlantic,7567-83486-2,2001,Australia,Fifth Cover,No,https://www.discogs.com/release/1541935-Tori-Amos-Strange-Little-Girls, $3.03 ,1541935,,1541935
"Amos, Tori",Cruel / Raspberry Swirl,CD,Yes,Atlantic / EastWest,AT0031CD2,1998,Australia,CD Single 2,No,https://www.discogs.com/release/1186811-Tori-Amos-Spark, $3.16 ,1186811,,1186811
"Amos, Tori",Cruel / Raspberry Swirl,CD,Yes,Atlantic,2-84534,1999,Australia,CD Single,No,https://www.discogs.com/release/1411090-Tori-Amos-1000-Oceans, $3.26 ,1411090,,1411090
"Amos, Tori",From The Choirgirl Hotel,CD,Yes,Atlantic,2-84533,1999,Australia,CD Single,No,https://www.discogs.com/release/2635884-Tori-Amos-Bliss, $3.78 ,2635884,,2635884
"Amos, Tori",Glory Of The 80's,CD,Yes,Atlantic / EastWest,AT0045CD,1998,Australia,CD Single,No,https://www.discogs.com/release/166955-Tori-Amos-Raspberry-Swirl, $3.79 ,166955,,166955
"Amos, Tori",Glory Of The 80's,CD,Yes,Atlantic / EastWest,AT0045CD,1998,Australia,CD Single,No,https://www.discogs.com/release/166955-Tori-Amos-Raspberry-Swirl, $3.79 ,166955,,166955
"Amos, Tori",Gold Dust,CD,Yes,Atlantic,2-84105,1998,Australia,Maxi-Single,No,https://www.discogs.com/release/1379811-Tori-Amos-Spark, $4.00 ,1379811,,1379811
"Amos, Tori",Jackie's Strength,CD,Yes,Atlantic,7567-83486-2 ,2001,Australia,3rd Cover,No,https://www.discogs.com/release/1436216-Tori-Amos-Strange-Little-Girls, $4.00 ,1436216,,1436216
"Amos, Tori",Jackie's Strength,CD / DVD,Yes,Atlantic,83230-2,1999,Australia,Tri-fold Card Sleeve,No,https://www.discogs.com/release/479669-Tori-Amos-To-Venus-And-Back, $4.00 ,479669,,479669
"Amos, Tori",Little Earthquakes - The B-Sides,CD  / DVD,Yes,Atlantic,83658-2,2003,Australia,Digipack,No,https://www.discogs.com/release/444546-Tori-Amos-Tales-Of-A-Librarian-A-Tori-Amos-Collection, $4.02 ,444546,,444546
