Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,V-19234,1987,EU,Single,Yes,https://www.discogs.com/release/916839-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $3.83 ,916839,,916839
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,V-19234,1987,EU,,No,https://www.discogs.com/release/916839-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $3.83 ,916839,,916839
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,V-19234,1987,EU,Single,Yes,https://www.discogs.com/release/916839-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $3.83 ,916839,,916839
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,V-19234,1987,EU,Single,Yes,https://www.discogs.com/release/916839-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $3.83 ,916839,,916839
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,V-19234,1987,EU,Single,Yes,https://www.discogs.com/release/916839-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $3.83 ,916839,,916839
"Bowie, David",Day-In-Day-Out (Extended Dance Mix),"12"" Vinyl",Yes,EMI America,12 EA 230,1987,EU,Stock Copy,No,https://www.discogs.com/release/817679-David-Bowie-Day-In-Day-Out-Extended-Dance-Mix, $4.75 ,817679,,817679
"Bowie, David",Day-In-Day-Out (Groucho Mix),"12"" Vinyl",Yes,EMI America,V-19239,1987,UK,Punch out right corner,No,https://www.discogs.com/release/916845-David-Bowie-Day-In-Day-Out-Groucho-Mix, $19.00 ,916845,,916845
"Bowie, David",Dead Man Walking,CD,Yes,RCA / BMG,74321475852,1997,EU,J-Card,No,https://www.discogs.com/release/130859-David-Bowie-Dead-Man-Walking, $3.08 ,130859,,130859
"Bowie, David",Dead Man Walking,CD,Yes,Arista,74321475112,1997,EU,Promo,No,https://www.discogs.com/release/5237377-David-Bowie-Dead-Man-Walking, $4.20 ,5237377,,5237377
"Bowie, David",Dead Man Walking,CD,Yes,Virgin,7087 6 12249 2 4,1997,EU,Promo,No,https://www.discogs.com/release/2154002-David-Bowie-Dead-Man-Walking, $4.39 ,2154002,,2154002
"Bowie, David",Dead Man Walking,CD,Yes,RCA,DMV01,1997,EU,Promo,No,https://www.discogs.com/release/2284810-David-Bowie-Dead-Man-Walking, $5.06 ,2284810,,2284810
"Bowie, David",Dead Man Walking,CD,Yes,Arista / BMG ,74321474802,1997,EU,CD1,No,https://www.discogs.com/release/158571-David-Bowie-Dead-Man-Walking, $5.25 ,158571,,158571
"Bowie, David",Dead Man Walking,"12"" Vinyl",N/A,Virgin,SPRO-12249,1997,EU,Promo,No,https://www.discogs.com/release/158570-David-Bowie-Dead-Man-Walking, $5.65 ,158570,,158570
"Bowie, David",Dead Man Walking,CD,Yes,RCA / BMG,74321475842,1997,France,Limited Edition Digipak,No,https://www.discogs.com/release/158568-David-Bowie-Dead-Man-Walking, $6.32 ,158568,,158568
"Bowie, David",Dead Man Walking,"7"" Vinyl",N/A,Virgin / EMI-Capitol Music Special Markets,S7-19517,1997,Germany,Jukebox Copy,No,https://www.discogs.com/release/3214217-David-Bowie-Dead-Man-Walking, $8.00 ,3214217,,3214217
"Bowie, David",Dead Man Walking,"7"" Vinyl",N/A,Virgin / EMI-Capitol Music Special Markets,S7-19517,1997,Germany,Jukebox Copy,No,https://www.discogs.com/release/3214217-David-Bowie-Dead-Man-Walking, $8.00 ,3214217,,3214217
"Bowie, David",Dead Man Walking,CD,Yes,Arista / BMG ,74321476142,1997,Japan,CD2,No,https://www.discogs.com/release/158569-David-Bowie-Dead-Man-Walking, $10.26 ,158569,,158569
"Bowie, David",Dead Man Walking,CD,Yes,Arista / BMG ,BVCA-8845,1997,Netherlands,No OBI,No,https://www.discogs.com/release/1625663-David-Bowie-Dead-Man-Walking, $12.00 ,1625663,,1625663
"Bowie, David",Dead Man Walking,CD,Yes,BMG Australia Limited,74321 47614 2,1997,UK,Maxi-Single,No,https://www.discogs.com/release/158573-David-Bowie-Dead-Man-Walking, $15.92 ,158573,,158573
"Bowie, David",Dead Man Walking,"12"" Vinyl",Yes,RCA / BMG,74321475841,1997,UK,,No,https://www.discogs.com/release/965369-David-Bowie-Dead-Man-Walking, $15.96 ,965369,,965369
"Bowie, David",Dead Man Walking (Part 1),"12"" Vinyl",Yes,BMG / Arista / Do It Yourself,74321474801,1997,Germany,,No,https://www.discogs.com/release/492077-David-Bowie-Dead-Man-Walking-Part-1, $9.33 ,492077,,492077
"Bowie, David",Demanding Billy Dolls And Other Friends Of Mine,"12"" Vinyl",Yes,None,None,2016,USA,Unofficial Release - Red Vinyl 150 Copies,No,https://www.discogs.com/release/8514262-David-Bowie-Demanding-Billy-Dolls-And-Other-Friends-Of-Mine, $50.00 ,8514262,,8514262
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APB0-0293,1974,EU,"Made in Canada, but for UK distribution",No,https://www.discogs.com/release/926850-Bowie-Diamond-Dogs, $5.03 ,926850,,926850
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APBO 0293 EX,1974,EU,Made in the USA but for UK distribution,No,https://www.discogs.com/release/4565182-Bowie-Diamond-Dogs, $5.25 ,4565182,,4565182
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APBO 0293 EX,1974,EU,Made in the USA but for UK distribution,No,https://www.discogs.com/release/4565182-Bowie-Diamond-Dogs, $5.25 ,4565182,,4565182
"Bowie, David",Diamond Dogs,CD,Yes,Virgin,7243 521904 0 9,1999,EU,The David Bowie Series,No,https://www.discogs.com/release/1987914-Bowie-Diamond-Dogs, $5.85 ,1987914,,1987914
"Bowie, David",Diamond Dogs,CD,Yes,Rykodisc,RCD 10137,1990,Finland,,No,https://www.discogs.com/release/5997846-Bowie-Diamond-Dogs, $6.00 ,5997846,,5997846
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APBO-0293,1974,France,Stock Copy,No,https://www.discogs.com/release/15664288-Bowie-Diamond-Dogs, $6.32 ,15664288,,15664288
"Bowie, David",Diamond Dogs,8-Track Cartridge,N/A,RCA Victor,CPS1-0576,1974,France,,No,https://www.discogs.com/release/2734019-Bowie-Diamond-Dogs, $7.00 ,2734019,,2734019
"Bowie, David",Diamond Dogs,8-Track Cartridge,N/A,RCA Victor,CPS1-0576,1974,France,,No,https://www.discogs.com/release/2734019-Bowie-Diamond-Dogs, $7.00 ,2734019,,2734019
"Bowie, David",Diamond Dogs,CD,Yes,Rykodisc,RCD 10137,1990,France,,No,https://www.discogs.com/release/5997846-Bowie-Diamond-Dogs, $6.00 ,5997846,,5997846
"Bowie, David",Diamond Dogs,CD,Yes,Rykodisc,RCD 10137,1990,France,,No,https://www.discogs.com/release/5997846-Bowie-Diamond-Dogs, $6.00 ,5997846,,5997846
"Bowie, David",Diamond Dogs,CD,Yes,Rykodisc,RCD 10137,1990,France,,No,https://www.discogs.com/release/5997846-Bowie-Diamond-Dogs, $6.00 ,5997846,,5997846
"Bowie, David",Diamond Dogs,CD,Yes,Rykodisc,RCD 10137,1990,France,,No,https://www.discogs.com/release/5997846-Bowie-Diamond-Dogs, $6.00 ,5997846,,5997846
"Bowie, David",Diamond Dogs,Cassette,Yes,Ryko Analogue,RACS 0137,1990,Germany,,No,https://www.discogs.com/release/2021520-David-Bowie-Diamond-Dogs, $9.52 ,2021520,,2021520
"Bowie, David",Diamond Dogs,CD,Yes,EMI,07777 95211 2 8,1998,Italy,,No,https://www.discogs.com/release/2082589-Bowie-Diamond-Dogs, $10.00 ,2082589,,2082589
"Bowie, David",Diamond Dogs,CD,Yes,EMI,07777 95211 2 8,1998,Italy,,No,https://www.discogs.com/release/2082589-Bowie-Diamond-Dogs, $10.00 ,2082589,,2082589
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,APBO 0293 EX,1974,Japan,Stock Copy,No,https://www.discogs.com/release/3170694-David-Bowie-Diamond-Dogs, $10.53 ,3170694,,3170694
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA,BOW 504,1983,Japan,Lifetimes The Singles: Push Out Center Intact,No,https://www.discogs.com/release/3172028-David-Bowie-Diamond-Dogs, $10.64 ,3172028,,3172028
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA Victor,CPL1-0576,1976,Spain,Reissue - Black Label,No,https://www.discogs.com/release/6359277-Bowie-Diamond-Dogs, $14.50 ,6359277,,6359277
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA Victor,CPL1-0576,1976,Spain,Reissue - Black Label,No,https://www.discogs.com/release/6359277-Bowie-Diamond-Dogs, $14.50 ,6359277,,6359277
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA Victor,CPL1-0576,1974,UK,Original Pressing,No,https://www.discogs.com/release/6995960-Bowie-Diamond-Dogs, $15.39 ,6995960,,6995960
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA Victor,CPL1-0576,1974,UK,Original Pressing,No,https://www.discogs.com/release/6995960-Bowie-Diamond-Dogs, $15.39 ,6995960,,6995960
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA Victor,CPL1-0576,1974,UK,Original Pressing,No,https://www.discogs.com/release/6995960-Bowie-Diamond-Dogs, $15.39 ,6995960,,6995960
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APBO 0293 EX,1974,UK,Push-out center intact,No,https://www.discogs.com/release/19195048-Bowie-Diamond-Dogs, $18.27 ,19195048,,19195048
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,APBO-0293,1974,UK,,No,https://www.discogs.com/release/967732-Bowie-Diamond-Dogs, $19.42 ,967732,,967732
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,APBO-0293,1974,UK,Stock Copy,No,https://www.discogs.com/release/10385324-Bowie-Diamond-Dogs, $21.05 ,10385324,,10385324
"Bowie, David",Diamond Dogs,CD,Yes,EMI,7243 5 77857 2 3,2004,UK,30th Anniversary Edition,No,https://www.discogs.com/release/1410177-Bowie-Diamond-Dogs, $20.30 ,1410177,,1410177
"Bowie, David",Diamond Dogs,CD,Yes,EMI,TOCP-70147,2007,UK,With OBI - made in Japan,No,https://www.discogs.com/release/7045271-Bowie-Diamond-Dogs, $17.13 ,7045271,,7045271
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,Parlophone,DBDOGS 40,2014,UK,Picture Disc,Yes,https://www.discogs.com/release/5805687-David-Bowie-Diamond-Dogs, $22.31 ,5805687,,5805687
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,Parlophone,DBDOGS 40,2014,UK,Picture Disc,Yes,https://www.discogs.com/release/5805687-David-Bowie-Diamond-Dogs, $22.31 ,5805687,,5805687
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,RCA,YL-13889,2015,UK,Unofficial Release - Yellow Vinyl,No,https://www.discogs.com/release/8095939-David-Bowie-Diamond-Dogs, $25.00 ,8095939,,8095939
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Parlophone,DB 74761,2019,UK,45th Anniversary - Red Vinyl,Yes,https://www.discogs.com/release/13663472-Bowie-Diamond-Dogs, $31.61 ,13663472,,13663472
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Parlophone,DBDDPD 1974,2024,UK,Picture Disc - 50th Anniversary,Yes,https://www.discogs.com/release/30777363-Bowie-Diamond-Dogs, $21.50 ,30777363,,30777363
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Parlophone,DBDDPD 1974,2024,UK,Picture Disc - 50th Anniversary,Yes,https://www.discogs.com/release/30777363-Bowie-Diamond-Dogs, $21.50 ,30777363,,30777363
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Parlophone,DBDD 50,2024,UK,Half Speed Master,Yes,https://www.discogs.com/release/30767826-Bowie-Diamond-Dogs, $23.96 ,30767826,,30767826
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Parlophone,DBDD 50,2024,UK,Half Speed Master,Yes,https://www.discogs.com/release/30767826-Bowie-Diamond-Dogs, $23.96 ,30767826,,30767826
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,APBO 0293 EX,1974,USA,Stock Copy,No,https://www.discogs.com/release/3066072-David-Bowie-Diamond-Dogs, $37.97 ,3066072,,3066072
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,SRCA-88765,1974,USA,Stock Copy,No,https://www.discogs.com/release/3221284-Bowie-Diamond-Dogs, $40.00 ,3221284,,3221284
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA Victor,APAO-0293,1974,USA,,No,https://www.discogs.com/release/6753781-Bowie-Diamond-Dogs, $98.99 ,6753781,,6753781
"Bowie, David",Diamond Dogs,"7"" Vinyl",N/A,RCA Victor,APBO 0293 EX,1974,USA,,No,https://www.discogs.com/release/8575596-David-Bowie-Diamond-Dogs, $284.81 ,8575596,,8575596
"Bowie, David",Diamond Dogs,"7"" Vinyl",Yes,RCA,SS-2386,1974,USA,Stock Copy,No,https://www.discogs.com/release/8619665-デビッドボウイー-ダイヤモンドの犬-Diamond-Dogs, $350.32 ,8619665,,8619665
"Bowie, David",Diamond Dogs,CD,Yes,RCA,PD83889,1984,USA,Blue Spine,No,https://www.discogs.com/release/1025914-Bowie-Diamond-Dogs, $42.11 ,1025914,,1025914
"Bowie, David",Diamond Dogs,"12"" Vinyl",No,RCA Victor,BOPIC 5,1984,USA,Picture Disc,No,https://www.discogs.com/release/2733635-David-Bowie-Diamond-Dogs, $50.32 ,2733635,,2733635
"Bowie, David",Diamond Dogs,CD,Yes,RCA Victor,PCD1-0576,1985,USA,Red Spine,No,https://www.discogs.com/release/4105413-Bowie-Diamond-Dogs, $50.00 ,4105413,,4105413
"Bowie, David",Diamond Dogs,CD,Yes,RCA Victor,PCD1-0576,1985,USA,Red Spine,No,https://www.discogs.com/release/4105413-Bowie-Diamond-Dogs, $50.00 ,4105413,,4105413
"Bowie, David",Diamond Dogs,"12"" Vinyl",Yes,Ryko Analogue,RALP 0137-2,1990,USA,Clear Vinyl,No,https://www.discogs.com/release/2101936-David-Bowie-Diamond-Dogs, $100.00 ,2101936,,2101936
"Bowie, David",Do You Anything You Say,"7"" Vinyl",N/A,Pye Records,7NX 8002,1972,Japan,Solid Centre,No,https://www.discogs.com/release/3161752-David-Bowie-Do-Anything-You-Say, $10.66 ,3161752,,3161752
"Bowie, David",Do You Anything You Say,"7"" Vinyl",Yes,Pye Records,7NX 8002,1972,Spain,Solid Centre,No,https://www.discogs.com/release/4565112-David-Bowie-For-The-Collector-Early-David-Bowie, $14.98 ,4565112,,4565112
"Bowie, David",Do You Anything You Say,"7"" Vinyl",Yes,Pye Records,UP-412-Y,1972,USA,Stock Copy,No,https://www.discogs.com/release/508512-デビッドボウイー-David-Bowie-ドゥエニィシングユーセイ-Do-Anything-You-Say," $1,100.00 ",508512,,508512
"Bowie, David",Dollars In Drag - The 1980 Floor Show,"12"" Vinyl",Yes,The Amazing Kornyfone Record Label,TAKRL 1905,1974,UK,Unofficial Release,No,https://www.discogs.com/release/8542000-Bowie-Dollars-In-Drag-The-1980-Floor-Show, $30.00 ,8542000,,8542000
"Bowie, David",Dollars In Drag - The 1980 Floor Show,"12"" Vinyl",Yes,The Amazing Kornyfone Record Label,TAKRL 1905,1974,UK,Unofficial Release,No,https://www.discogs.com/release/8542092-Bowie-Dollars-In-Drag-The-1980-Floor-Show, $30.00 ,8542092,,8542092
"Bowie, David",Don't Be Fooled By The Name,"10"" Vinyl",Yes,PRT,DOW1,1981,France,,Yes,https://www.discogs.com/release/932835-David-Bowie-Dont-Be-Fooled-By-The-Name, $7.72 ,932835,,932835
"Bowie, David",Don't Be Fooled By The Name,"12"" Vinyl",Yes,PRT,SP15-5227,1986,UK,With OBI,No,https://www.discogs.com/release/8170634-David-Bowie-Dont-Be-Fooled-By-The-Name, $23.08 ,8170634,,8170634
"Bowie, David","Down To The Line, Love Is The Drug, Golden Years, Squeeze Box","7"" Vinyl",Yes,4 Track Stereo Records,FT.294,1975,USA,Unofficial Release,No,https://www.discogs.com/release/16240188-Bachman-Turner-OverdriveWho-Roxy-Music-David-Bowie-Down-To-The-Line-Love-Is-The-Drug-Golden-Years-Sq, $75.00 ,16240188,,16240188
"Bowie, David",Drag Cover,"12"" Vinyl",N/A,None,123075,1980,USA,Unofficial Release - Picture Disc with no music but interview,No,https://www.discogs.com/release/4583855-David-Bowie-Drag-Cover, $50.00 ,4583855,,4583855
"Bowie, David",Drive In Saturday,"7"" Vinyl",N/A,RCA Victor,RCA 2352,1973,EU,Push-out center intact,No,https://www.discogs.com/release/1935494-David-Bowie-Drive-In-Saturday, $3.78 ,1935494,,1935494
"Bowie, David",Drive In Saturday,"7"" Vinyl",N/A,RCA Victor,RCA 2352,1973,EU,Push-out center intact,No,https://www.discogs.com/release/1935494-David-Bowie-Drive-In-Saturday, $3.78 ,1935494,,1935494
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA,BOW 501,1983,France,Lifetimes The Singles: Push Out Center Intact,No,https://www.discogs.com/release/6548977-David-Bowie-Drive-In-Saturday, $7.66 ,6548977,,6548977
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,74-16321,1973,Spain,,No,https://www.discogs.com/release/965732-David-Bowie-Drive-In-Saturday, $14.21 ,965732,,965732
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,74-16321,1973,UK,,No,https://www.discogs.com/release/2078622-David-Bowie-Drive-In-Saturday, $17.89 ,2078622,,2078622
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,41.085,1973,UK,,No,https://www.discogs.com/release/3230250-David-Bowie-Drive-In-Saturday, $19.47 ,3230250,,3230250
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,RCA 2352,1973,UK,Stock Copy,No,https://www.discogs.com/release/3328456-David-Bowie-Drive-In-Saturday, $31.58 ,3328456,,3328456
"Bowie, David",Drive In Saturday,"7"" Vinyl",N/A,EMI,DBDRIVE 40,2013,UK,"Picture Disc - Limited Edition of 3,000 copies",No,https://www.discogs.com/release/4494782-David-Bowie-Drive-In-Saturday, $25.32 ,4494782,,4494782
"Bowie, David",Drive In Saturday,"7"" Vinyl",N/A,EMI,DBDRIVE 40,2013,UK,"Picture Disc - Limited Edition of 3,000 copies",Yes,https://www.discogs.com/release/4494782-David-Bowie-Drive-In-Saturday, $25.32 ,4494782,,4494782
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,SRCA-88668,1973,USA,Stock Copy,No,https://www.discogs.com/release/3106627-David-Bowie-Drive-In-Saturday, $47.37 ,3106627,,3106627
"Bowie, David",Drive In Saturday,"7"" Vinyl",Yes,RCA Victor,N-20 123,1973,USA,Tattered Cover,No,https://www.discogs.com/release/15841102-David-Bowie-Drive-In-Saturday, $73.68 ,15841102,,15841102
"Bowie, David",Early On (1964-1966),Cassette,Yes,Rhino Records,R4 70526,1991,UK,Compilation,No,https://www.discogs.com/release/5529061-David-Bowie-Early-On-1964-1966, $16.25 ,5529061,,5529061
"Bowie, David",Earthling,CD,Yes,Virgin,7243 8 42627 2 3,1997,EU,,No,https://www.discogs.com/release/86137-David-Bowie-Earthling, $4.00 ,86137,,86137
"Bowie, David",Earthling,CD,Yes,Columbia / ISO Records,CK 92098,1997,Italy,Reissue,No,https://www.discogs.com/release/1049344-David-Bowie-Earthling, $10.00 ,1049344,,1049344
"Bowie, David",Earthling,CD,Yes,Arista / BMG,7432143077 2,1997,UK,Special Edition,No,https://www.discogs.com/release/6931799-David-Bowie-Earthling, $24.47 ,6931799,,6931799
"Bowie, David",Earthling,"12"" Vinyl",Yes,RCA,74321 44944-1,1997,USA,Original Pressing,No,https://www.discogs.com/release/1915532-David-Bowie-Earthling, $262.63 ,1915532,,1915532
"Bowie, David",Earthling,"12"" Vinyl",Yes,RCA / ISO Records / Music On Vinyl,MOVLP815,2013,USA,Blue Vinyl - # 1353/2000,Yes,https://www.discogs.com/release/5021529-David-Bowie-Earthling, $169.47 ,5021529,,5021529
"Bowie, David",Earthling,"12"" Vinyl",Yes,RCA / ISO Records / Music On Vinyl,MOVLP815,2013,USA,Green Vinyl - # 750/2000,No,https://www.discogs.com/release/5015564-David-Bowie-Earthling, $198.63 ,5015564,,5015564
"Bowie, David",Earthling,"12"" Vinyl",Yes,RCA / ISO Records / Music On Vinyl,MOVLP815,2013,USA,Green Vinyl - # 937/2000,Yes,https://www.discogs.com/release/5015564-David-Bowie-Earthling, $198.63 ,5015564,,5015564
"Bowie, David",Earthling,"12"" Vinyl",Yes,ISO Records / Columbia / Sony Music / Friday Music,FRM-42627,2015,USA,"Record Store Day - Green Vinyl Limited Edition of 2,000 Copies",No,https://www.discogs.com/release/7781493-David-Bowie-Earthling, $70.00 ,7781493,,7781493
"Bowie, David",Earthling,"12"" Vinyl",Yes,ISO Records / Columbia / Sony Music / Friday Music,FRM-42627,2015,USA,"Record Store Day - Green Vinyl Limited Edition of 2,000 Copies",Yes,https://www.discogs.com/release/7781493-David-Bowie-Earthling, $70.00 ,7781493,,7781493
"Bowie, David",Earthling In The City,CD,Yes,GQ Magazine,BOWIE 81165-01,1997,EU,Promo,No,https://www.discogs.com/release/131784-David-Bowie-Earthling-In-The-City, $5.00 ,131784,,131784
"Bowie, David",Earthling In The City,CD,Yes,GQ Magazine,BOWIE 81165-01,1997,EU,Promo,No,https://www.discogs.com/release/131784-David-Bowie-Earthling-In-The-City, $5.00 ,131784,,131784
"Bowie, David",Even More Sounds + Visions,"10"" Vinyl",Yes,Coda Publishing LTD,CPLTIV023,2020,UK,Unofficial - Bronze Vinyl,Yes,https://www.discogs.com/release/16024803-Bowie-Even-More-Sounds-Visions-The-Legendary-Broadcasts, $20.00 ,16024803,,16024803
"Bowie, David",Everyone Says 'Hi',CD,Yes,Columbia / ISO Records,673134 5,2002,Mexico,CD3,No,https://www.discogs.com/release/1065597-Bowie-Everyone-Says-Hi, $11.25 ,1065597,,1065597
"Bowie, David",Everyone Says 'Hi',CD,Yes,Columbia / ISO Records,673134 3,2002,Netherlands,CD2,No,https://www.discogs.com/release/1065584-Bowie-Everyone-Says-Hi, $11.46 ,1065584,,1065584
"Bowie, David",Everyone Says 'Hi',CD,Yes,Columbia / ISO Records,COL 673076,2002,Portugal,Single,No,https://www.discogs.com/release/459363-Bowie-Everyone-Says-Hi, $13.08 ,459363,,459363
"Bowie, David",Everyone Says 'Hi',CD,Yes,Columbia / ISO Records,673134 2,2002,Spain,CD1,No,https://www.discogs.com/release/1065569-Bowie-Everyone-Says-Hi, $14.00 ,1065569,,1065569
"Bowie, David",Everyone Says 'Hi' / I Took A Trip On A Gemini Spaceship,"12"" Vinyl",N/A,Columbia / ISO Records,CAS 59068,2002,USA,Promo,No,https://www.discogs.com/release/221951-David-Bowie-Everyone-Says-Hi-I-Took-A-Trip-On-A-Gemini-Spaceship, $40.00 ,221951,,221951
"Bowie, David",Excerpts From Outside (The Nathan Adler Diaries: A Hyper Cycle),"12"" Vinyl",Yes,RCA / BMG,74321307021,1995,USA,,No,https://www.discogs.com/release/1057475-David-Bowie-Excerpts-From-Outside-The-Nathan-Adler-Diaries-A-Hyper-Cycle, $177.21 ,1057475,,1057475
"Bowie, David",Excerpts From Outside (The Nathan Adler Diaries: A Hyper Cycle),"12"" Vinyl",Yes,Music On Vinyl / Arista / ISO Records,MOVLP500,2013,USA,V&A Exclusive - 279/500 - Green Vinyl,No,https://www.discogs.com/release/4793840-David-Bowie-Excerpts-From-Outside-The-Nathan-Adler-Diaries-A-Hyper-Cycle, $236.84 ,4793840,,4793840
"Bowie, David",Falling Up Through The Years,"12"" Vinyl",Yes,None,None,2016,USA,Unofficial Release,No,https://www.discogs.com/release/8082075-David-Bowie-Falling-Up-Through-The-Years, $40.00 ,8082075,,8082075
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,RCA 2579,1975,EU,Push-out center intact,No,https://www.discogs.com/release/1002530-David-Bowie-Fame, $3.78 ,1002530,,1002530
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Tan Label,No,https://www.discogs.com/release/3271244-David-Bowie-Fame, $3.89 ,3271244,,3271244
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Tan Label,No,https://www.discogs.com/release/3271244-David-Bowie-Fame, $3.89 ,3271244,,3271244
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Tan Label,No,https://www.discogs.com/release/3271244-David-Bowie-Fame, $3.89 ,3271244,,3271244
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Tan Label,No,https://www.discogs.com/release/3271244-David-Bowie-Fame, $3.89 ,3271244,,3271244
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Stock Copy - Tan Label,No,https://www.discogs.com/release/2884305-David-Bowie-Fame, $4.23 ,2884305,,2884305
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,PB-10320,1975,EU,Orange Label,No,https://www.discogs.com/release/2005895-David-Bowie-Fame, $5.00 ,2005895,,2005895
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA Victor,RCA 2579,1975,France,Solid Centre,No,https://www.discogs.com/release/4507066-David-Bowie-Fame, $6.32 ,4507066,,4507066
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA Victor,PB-10320,1975,Germany,,No,https://www.discogs.com/release/369996-David-Bowie-Fame, $9.47 ,369996,,369996
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA Victor,PB-10320,1975,Germany,,No,https://www.discogs.com/release/369996-David-Bowie-Fame, $9.47 ,369996,,369996
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA,BOW 507,1983,Germany,Lifetimes The Singles: Push Out Center Intact,No,https://www.discogs.com/release/978015-David-Bowie-Fame, $9.35 ,978015,,978015
"Bowie, David",Fame,"7"" Vinyl",N/A,RCA,JB-10320,1975,Spain,Promo ,No,https://www.discogs.com/release/4085844-David-Bowie-Fame, $13.84 ,4085844,,4085844
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA Victor,TPBO 7013,1975,Spain,Stock Copy,No,https://www.discogs.com/release/3134151-David-Bowie-Fame-Space-Oddity, $14.84 ,3134151,,3134151
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA Victor,PB-10320,1975,UK,,No,https://www.discogs.com/release/6221855-David-Bowie-Fame, $25.30 ,6221855,,6221855
"Bowie, David",Fame,"7"" Vinyl",No,RCA Victor,PB-10320,1975,UK,Disc is official but it is housed in a pirate sleeve,No,https://www.discogs.com/release/10156711-David-Bowie-Fame, $26.32 ,10156711,,10156711
"Bowie, David",Fame,"7"" Vinyl",Yes,RCA Victor,PB 10320,1975,UK,Stock Copy,No,https://www.discogs.com/release/2545174-David-Bowie-Fame, $29.19 ,2545174,,2545174
"Bowie, David",Fame,"7"" Vinyl",N/A,Parlophone,DBFAME40,2015,UK,Picture Disc,Yes,https://www.discogs.com/release/7245736-David-Bowie-Fame, $15.78 ,7245736,,7245736
